id;geom;geom_text;u;v;key;osmid;lanes;name;highway;oneway;reversed;length;maxspeed;speed_kph
239933;x1;LINESTRING(14.2428666 50.1378971,14.2411955 50.1386255,14.2378068 50.1400955,14.2371258 50.1403917,14.2370508 50.1404243,14.2315674 50.1428089,14.2298765 50.1435357,14.228292 50.1442743,14.2267024 50.1450868,14.2254481 50.1457948);244511004;60648425;x5;x6;x7;x8;motorway;x10;x11;x12;110;110
240280;x1;LINESTRING(14.504312 50.14211,14.5049186 50.1423121);245367568;1026423695;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
240408;x1;LINESTRING(14.3073684 50.0313465,14.3073431 50.0314128,14.3070285 50.0322381,14.3067382 50.0322516,14.3063377 50.0322662,14.3062096 50.0322501,14.3062377 50.0321196,14.3062523 50.0320613,14.3064612 50.0312263,14.3064824 50.0311417);245501209;245501214;x5;x6;x7;x8;['residential', 'service'];x10;x11;x12;0;41
240445;x1;LINESTRING(14.3013573 50.0280361,14.3014693 50.0279192,14.3020448 50.0270095,14.3026588 50.0259603);245502100;3974648904;x5;x6;x7;x8;['track', 'residential'];x10;x11;x12;0;42
240527;x1;LINESTRING(14.5247512 50.0507954,14.5244595 50.0508482,14.5242426 50.0509061,14.5242092 50.050915,14.5241761 50.0509261,14.5241382 50.0509383,14.5241067 50.0509506,14.5240953 50.050955);245554630;6494220400;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
240548;x1;LINESTRING(14.5261649 50.0453899,14.5261792 50.0453459,14.5261767 50.0452724,14.5261181 50.0451834,14.5260195 50.045102,14.5258611 50.0450523,14.5248362 50.0450166,14.5247412 50.0450133);245554781;245554752;x5;x6;x7;x8;secondary_link;x10;x11;x12;0;54
240786;x1;LINESTRING(14.4973504 50.0444593,14.4976287 50.0445479,14.4979378 50.0446383,14.498439 50.0447171,14.4986057 50.0447632,14.4987981 50.0447898,14.4989728 50.0448109,14.4991288 50.0448595,14.4992423 50.0449415,14.4993638 50.0451022,14.4995383 50.0453599,14.4997919 50.0456893,14.4998201 50.0457995,14.4998194 50.0459765,14.4999789 50.0462676);245566324;258384074;x5;x6;x7;x8;['track', 'residential'];x10;x11;x12;0;42
240865;x1;LINESTRING(14.5266779 50.0472928,14.5276862 50.0475133,14.5274422 50.0480008,14.5271887 50.0484047);245567983;1006102113;x5;x6;x7;x8;['residential', 'service'];x10;x11;x12;0;41
241065;x1;LINESTRING(14.528388 50.0358582,14.5294004 50.0357129);245575535;1837070052;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
241708;x1;LINESTRING(14.4850309 50.0378654,14.4843903 50.0381074,14.4843462 50.03818,14.4843765 50.0382311,14.4844118 50.0382907);245784444;245784437;x5;x6;x7;x8;['residential', 'service'];x10;x11;x12;0;41
242036;x1;LINESTRING(14.6176566 49.9743731,14.6174754 49.974408);246130138;4075346095;x5;x6;x7;x8;motorway_link;x10;x11;x12;80;80
242050;x1;LINESTRING(14.4076334 50.1277445,14.4076334 50.1278526,14.4078153 50.1289004,14.4077745 50.1290702,14.4076453 50.12919,14.4075574 50.1292183,14.4074386 50.1292364,14.4070357 50.1292543,14.4069175 50.1292087);246278363;1286899163;x5;x6;x7;x8;['residential', 'service'];x10;x11;x12;0;41
242099;x1;LINESTRING(14.4814719 50.1069733,14.481473 50.1068911,14.4814721 50.1068197,14.4814684 50.1067303,14.4814631 50.1066506,14.4814554 50.1065679,14.4814445 50.1064775,14.4814253 50.1063552,14.4813356 50.1058691,14.4813174 50.1057592,14.4813105 50.1057017,14.4813027 50.1056305,14.4812977 50.1055538,14.4812954 50.1054702,14.4812955 50.1053848,14.4812986 50.1053056,14.481306 50.105225,14.4813166 50.1051437,14.4813315 50.1050659,14.481348 50.1049901,14.4813699 50.1049093,14.4813947 50.1048296,14.4814252 50.1047476,14.4814618 50.1046619,14.4814989 50.1045809,14.4815349 50.1045103,14.4815622 50.1044634,14.4816205 50.1043644,14.4816696 50.1042892,14.4817234 50.1042143,14.4817849 50.1041347,14.4818478 50.1040599,14.4819432 50.1039555,14.4820371 50.1038577,14.4821129 50.1037824,14.4822003 50.1037012,14.4823083 50.1036067,14.4824573 50.1034828,14.4826004 50.1033689,14.4827769 50.1032386,14.4829649 50.1031104,14.4831324 50.1030065,14.4832874 50.1029203);246512044;1134627942;x5;x6;x7;x8;primary;x10;x11;x12;0;62
242158;x1;LINESTRING(14.5635138 50.1076788,14.5616977 50.1074162);246541720;21688012;x5;x6;x7;x8;primary;x10;x11;x12;50;50
