WKT;osmid;y;x
x;1324052;50.0644;14.3603
x;1324055;50.0641;14.3583
x;1324056;50.0669;14.3635
x;1324060;50.0673;14.3619
x;1324063;50.0619;14.3648
x;1324069;50.0644;14.3699
x;1324071;50.0645;14.3708
x;1324088;50.0685;14.3711
x;1324091;50.0685;14.3704
x;1324092;50.0687;14.3694
x;1324305;50.0281;14.4512
x;1324311;50.0316;14.446
x;1324313;50.0323;14.4446
x;1324315;50.0331;14.4441
x;1324552;50.0466;14.4687
x;1324554;50.048;14.4685
x;1324555;50.0493;14.4674
x;1324559;50.0497;14.4646
x;1324706;50.0086;14.5479
x;1324711;49.9935;14.5871
x;1329120;50.0347;14.4433
x;1329121;50.034;14.4426
x;1335779;50.0556;14.4836
x;1335780;50.0551;14.4862
x;1335782;50.0541;14.4895
x;1335783;50.0547;14.4906
x;1335784;50.055;14.492
x;1335785;50.0554;14.4929
x;1335789;50.0567;14.4938
x;1335790;50.0578;14.4938
x;1335791;50.0587;14.4935
x;1335798;50.0617;14.4945
x;1335850;50.0368;14.4475
x;1335851;50.0357;14.4449
x;1335856;50.0369;14.4459
x;2197195;50.0378;14.408
x;2197196;50.0698;14.383
x;2197198;50.0703;14.3846
x;2197203;50.0717;14.3941
x;2197215;50.0681;14.4335
x;2197228;50.0741;14.4328
x;2197229;50.0743;14.4339
x;6925831;50.1049;14.5673
x;6925837;50.1033;14.5643
x;6925867;50.1022;14.5685
x;6925873;50.1021;14.5677
x;6925877;50.1024;14.569
x;6926054;50.1024;14.5777
x;6926060;50.1022;14.5787
x;6926067;50.1024;14.5802
x;6926328;50.0956;14.5759
x;6926427;50.0906;14.5764
x;6926434;50.0893;14.5772
x;6926443;50.0887;14.5784
x;6926445;50.0886;14.5801
x;6926451;50.0886;14.5823
x;6926454;50.0896;14.5842
x;6926594;50.0849;14.5956
x;6926603;50.0847;14.5933
x;6926608;50.0849;14.5929
x;6926609;50.0849;14.5933
x;6926612;50.0849;14.5938
x;6926740;50.0962;14.5963
x;6926828;50.1008;14.6123
x;6926830;50.1016;14.6115
x;6926888;50.1027;14.6116
x;6926940;50.1013;14.6192
x;6926943;50.0999;14.6231
x;6926970;50.0984;14.6232
x;6926988;50.099;14.6255
x;6926991;50.0983;14.6256
x;6927007;50.1;14.6149
x;6927008;50.1004;14.6153
x;6927012;50.0999;14.615
x;6927014;50.0998;14.6155
x;6927019;50.0996;14.6152
x;6927023;50.0987;14.6151
x;6927029;50.1046;14.6122
x;6928233;50.1069;14.5859
x;6928239;50.1069;14.5879
x;6928246;50.1068;14.5907
x;6928252;50.1077;14.5912
x;6928280;50.1104;14.5951
x;6929749;50.1102;14.5638
x;6929752;50.1107;14.563
x;6930649;50.1083;14.5602
x;6930650;50.1094;14.5624
x;6930653;50.11;14.5617
x;6930692;50.1123;14.5593
x;6930925;50.1109;14.5898
x;6930931;50.111;14.591
x;6931010;50.1113;14.5993
x;6931018;50.1091;14.6016
x;6931028;50.1084;14.6022
x;6931034;50.1128;14.601
x;6931044;50.1136;14.6063
x;6931198;50.1079;14.6033
x;6931201;50.1066;14.6049
x;6931418;50.1016;14.5501
x;6931470;50.1044;14.5524
x;6931749;50.1029;14.5496
x;6931756;50.1021;14.5499
x;6932334;50.0659;14.5365
x;6932414;50.0655;14.5498
x;6932497;50.0786;14.5082
x;6932500;50.0793;14.5087
x;6932504;50.0815;14.5082
x;6932599;50.0829;14.5078
x;6932602;50.0832;14.5107
x;6932607;50.0791;14.512
x;6932619;50.086;14.5127
x;6932638;50.0877;14.5159
x;6934263;50.0934;14.5204
x;6934405;50.0665;14.5376
x;6934414;50.0591;14.5371
x;6934418;50.0584;14.5361
x;6934422;50.0619;14.5363
x;6934821;50.108;14.5594
x;6934824;50.1089;14.5596
x;6934829;50.1086;14.5589
x;6935716;50.107;14.6244
x;6935833;50.1154;14.6129
x;6935835;50.1148;14.6095
x;6935836;50.1163;14.6183
x;6935861;50.1127;14.6257
x;6935925;50.1126;14.628
x;6935926;50.1124;14.6336
x;6935927;50.1127;14.6335
x;6935928;50.1126;14.6362
x;6935930;50.1139;14.6259
x;6935957;50.1146;14.6259
x;6935958;50.1158;14.626
x;6935967;50.1016;14.6555
x;6936034;50.1053;14.6567
x;7079263;50.0579;14.5361
x;7079277;50.054;14.5365
x;7079323;50.0538;14.5387
x;7079406;50.0498;14.5387
x;7079414;50.0487;14.5431
x;7079426;50.0517;14.5427
x;7079437;50.0466;14.5502
x;7079711;50.0437;14.5576
x;7079714;50.043;14.5561
x;7079753;50.0401;14.5573
x;7079759;50.0387;14.5617
x;7079762;50.0367;14.5622
x;7079837;50.0355;14.5626
x;7079840;50.0341;14.563
x;7079859;50.0372;14.5657
x;7079866;50.037;14.5666
x;7080189;50.0551;14.5634
x;7080738;50.0416;14.5847
x;7080744;50.0425;14.5831
x;7080821;50.0346;14.5945
x;7080835;50.0337;14.5957
x;7080847;50.0297;14.6013
x;7080854;50.0299;14.605
x;7080856;50.0309;14.6072
x;7082112;50.0183;14.6329
x;7294397;50.0323;14.3128
x;7294404;50.0322;14.3134
x;7294414;50.0302;14.3148
x;7294734;50.0337;14.5053
x;7294784;50.033;14.4994
x;7294790;50.032;14.497
x;7294793;50.0322;14.4967
x;7294800;50.032;14.4961
x;7294806;50.0323;14.4979
x;7295134;50.014;14.5455
x;7295155;50.021;14.5485
x;7295388;50.0217;14.5509
x;7295548;50.027;14.559
x;7295552;50.0272;14.5588
x;7295574;50.0338;14.5632
x;7295614;50.03;14.5631
x;7295628;50.032;14.5643
x;7295647;50.0334;14.5635
x;7295948;50.0439;14.5599
x;7295952;50.0445;14.5592
x;7295958;50.0442;14.5614
x;7295961;50.045;14.561
x;7295964;50.0452;14.562
x;7295967;50.0457;14.5639
x;7296019;50.0434;14.5619
x;7296023;50.0437;14.5629
x;7296025;50.0445;14.5624
x;7296036;50.0431;14.5608
x;7296203;50.0463;14.5636
x;7296234;50.049;14.5646
x;7296248;50.0514;14.5613
x;7296252;50.0521;14.56
x;7296261;50.0533;14.56
x;7296264;50.0539;14.5602
x;7296269;50.0571;14.5588
x;7296283;50.0569;14.5547
x;7296287;50.0564;14.5522
x;7296686;50.0718;14.5713
x;7296950;50.0879;14.5767
x;7296956;50.0885;14.577
x;7296959;50.0858;14.5755
x;7297083;50.0869;14.5764
x;7306270;50.0286;14.3121
x;7306308;50.0259;14.314
x;7306371;50.0233;14.3161
x;7306489;50.014;14.3147
x;7306502;50.0123;14.3132
x;7306598;50.007;14.3115
x;7306667;50.0067;14.3141
x;7306670;50.0069;14.3165
x;7306702;50.0063;14.3123
x;7306705;50.0065;14.3125
x;7307298;50.1056;14.5699
x;7307300;50.1055;14.5701
x;7307324;50.1065;14.5715
x;7307340;50.1064;14.5716
x;7307350;50.1058;14.574
x;7307357;50.1073;14.5789
x;7307362;50.1075;14.5807
x;7307373;50.1057;14.5815
x;7307374;50.1053;14.5828
x;7307385;50.105;14.5735
x;7307388;50.1052;14.5696
x;7307391;50.1047;14.5703
x;7307392;50.1056;14.5717
x;7307395;50.1039;14.5714
x;7307403;50.1042;14.5737
x;7307404;50.1043;14.5742
x;7307407;50.1044;14.5748
x;7307410;50.1037;14.5744
x;7307413;50.1032;14.5723
x;7307416;50.1038;14.5765
x;7307704;50.1037;14.5641
x;7307708;50.1031;14.5645
x;7781002;50.0895;14.5728
x;7781028;50.0903;14.5638
x;7781030;50.0904;14.5632
x;7781120;50.0876;14.5631
x;7781807;50.071;14.5725
x;7781885;50.0637;14.5926
x;7782981;50.109;14.5651
x;7783047;50.111;14.5634
x;7783410;50.0598;14.5972
x;7783979;50.0469;14.6152
x;7784042;50.0413;14.6274
x;7784099;50.0367;14.6331
x;7784102;50.0374;14.6353
x;7784104;50.0381;14.636
x;7784114;50.0383;14.6393
x;7784171;50.1132;14.5599
x;7785890;50.1214;14.5748
x;7785891;50.121;14.5748
x;7785894;50.1213;14.5754
x;7785910;50.1229;14.5768
x;7786099;50.1238;14.5774
x;7786121;50.1233;14.5806
x;7786131;50.123;14.5804
x;7786139;50.1226;14.581
x;7786166;50.1326;14.5964
x;7786349;50.123;14.5831
x;7786675;50.1244;14.6035
x;7786692;50.1284;14.6044
x;7786919;50.1372;14.6078
x;7908299;50.1089;14.6017
x;7908311;50.1091;14.6025
x;7908324;50.1091;14.6053
x;7908329;50.1084;14.6054
x;7908330;50.107;14.6057
x;7908341;50.107;14.6069
x;7908350;50.1064;14.6076
x;7908354;50.1058;14.6071
x;7908359;50.1095;14.6071
x;7908366;50.1099;14.6075
x;7908689;50.1098;14.6242
x;7908697;50.1105;14.6227
x;7908701;50.1099;14.62
x;7908713;50.1127;14.6181
x;7908718;50.1119;14.6143
x;7908722;50.1112;14.6146
x;7908731;50.111;14.6136
x;7908734;50.111;14.6126
x;7908757;50.1088;14.6218
x;7908826;50.1095;14.6103
x;7908831;50.1104;14.6105
x;7908836;50.1095;14.6115
x;7908840;50.108;14.6098
x;7908848;50.1075;14.6085
x;7908860;50.1069;14.608
x;7908866;50.1059;14.6102
x;7908872;50.1053;14.6099
x;7908879;50.1035;14.609
x;7908903;50.1074;14.6109
x;7908907;50.1065;14.6129
x;7908917;50.1067;14.6134
x;7908924;50.1062;14.6141
x;8809980;50.0538;14.4399
x;8809990;50.0623;14.4305
x;8809991;50.0683;14.4304
x;8809993;50.0695;14.4309
x;8809994;50.0707;14.4308
x;8809995;50.0722;14.4306
x;8809996;50.072;14.4294
x;8809997;50.0695;14.4296
x;8809998;50.0707;14.4321
x;8809999;50.0721;14.4323
x;8810001;50.0725;14.4348
x;8810002;50.0728;14.4361
x;8810003;50.0731;14.436
x;8810004;50.0736;14.4373
x;8810007;50.0771;14.4304
x;8810017;50.092;14.4376
x;8810022;50.0933;14.4283
x;8810025;50.0928;14.42
x;8810028;50.0913;14.416
x;8810384;50.0909;14.4168
x;8810385;50.0911;14.417
x;8810390;50.0907;14.4186
x;8810393;50.0889;14.4197
x;8810394;50.0887;14.4198
x;8810395;50.0891;14.4203
x;8810397;50.0894;14.4211
x;8810398;50.0892;14.4214
x;8810401;50.0888;14.4219
x;8810402;50.0893;14.4223
x;8810404;50.0894;14.4227
x;8810406;50.0892;14.424
x;8810409;50.0898;14.4259
x;8810412;50.0906;14.4258
x;8810413;50.0907;14.4272
x;8810417;50.0927;14.4284
x;8810420;50.0906;14.4151
x;8810423;50.0903;14.4162
x;8810426;50.085;14.4138
x;8810430;50.0814;14.413
x;8810433;50.0797;14.4139
x;8810434;50.0774;14.4144
x;8810751;50.0324;14.4929
x;8810755;50.0243;14.5044
x;8810756;50.023;14.5156
x;8810822;50.068;14.4197
x;8811030;50.0333;14.5415
x;8811034;50.0313;14.5512
x;8811043;50.0248;14.5601
x;8811047;50.0232;14.5634
x;8811295;50.0215;14.5751
x;8811298;50.021;14.5785
x;8811300;50.0207;14.5798
x;8811302;50.0227;14.5785
x;8811304;50.0241;14.578
x;8811309;50.0296;14.5791
x;8811311;50.0331;14.5775
x;8811393;50.0366;14.5723
x;8811394;50.0368;14.5762
x;8811398;50.0361;14.5812
x;8811404;50.0385;14.5892
x;8811405;50.0386;14.5891
x;8811408;50.0385;14.5895
x;8811411;50.0303;14.5983
x;8811541;50.0297;14.6078
x;8811542;50.0282;14.6082
x;8811553;50.017;14.6217
x;8811554;50.0155;14.6213
x;8811716;50.0129;14.6228
x;8811717;50.0119;14.6251
x;8811718;50.0112;14.6272
x;8811719;50.011;14.6286
x;8811723;50.0098;14.6321
x;8811724;50.0096;14.6348
x;8812012;49.9974;14.6486
x;8812013;49.9938;14.6498
x;8812014;49.9928;14.6503
x;8812016;49.9911;14.6519
x;8812018;49.9914;14.6539
x;8812019;49.9916;14.6554
x;9187809;50.0884;14.4187
x;9187811;50.0891;14.4169
x;9187812;50.0885;14.4166
x;10703784;49.9812;14.389
x;10703810;50.039;14.407
x;10703811;50.0804;14.4139
x;10703812;50.0829;14.4139
x;10703813;50.0834;14.4138
x;10703814;50.0835;14.4133
x;10703818;50.0931;14.4372
x;10703829;50.0763;14.4291
x;10703830;50.0755;14.4291
x;12344255;50.1064;14.6033
x;12344274;50.1096;14.6073
x;12344510;50.1049;14.6068
x;12344543;50.1097;14.6027
x;12344546;50.1095;14.6052
x;12344551;50.11;14.6052
x;12344554;50.1112;14.6106
x;12344832;50.1073;14.5941
x;12345496;50.15;14.5884
x;12345497;50.1556;14.597
x;12345605;50.1594;14.6111
x;21033832;50.1546;14.6079
x;21033839;50.1591;14.5994
x;21033840;50.1588;14.5966
x;21033842;50.1588;14.5922
x;21033848;50.1569;14.5825
